	f3bc810a-edc7-4412-9e09-006c0bcf2550
	tumor
AC005072.1	0
AC005076.1	0.414053862
AC005077.1	0
AC005077.2	0
AC005077.3	0
AC005077.4	0.01502881
AC005082.1	0.116264439
AC005083.1	1.369981924
AC005084.1	0
AC005086.1	0
AC005086.2	0.230375833
AC005086.3	0
AC005086.4	0
AC005088.1	0
AC005089.1	0
AC005090.1	0
AC005091.1	0.044139235
AC005094.1	0
AC005096.1	0.211116117
AC005099.1	0.688861507
AC005102.1	0
AC005104.1	0
AC005104.2	0.077471519
AC005105.1	0
AC005150.1	0
AC005154.1	0.379676226
AC005154.2	0.277180422
AC005154.3	0.056560327
AC005154.4	0
AC005154.5	0.142732853
AC005154.6	0
AC005156.1	0.137501806
AC005160.1	0
AC005162.1	0
AC005162.2	0.136312344
AC005162.3	0.04808088
AC005165.1	0.088486674
AC005165.2	0.345563749
AC005176.1	0
AC005176.2	0
AC005178.1	0
AC005180.1	0.268444753
AC005180.2	0.046731041
AC005181.1	0
AC005183.1	0
AC005185.1	0
AC005186.1	0
AC005189.1	0
AC005191.1	0
AC005197.1	0.038452189
AC005208.1	0
AC005209.1	0
AC005220.1	0
AC005224.1	0.136696656
AC005224.2	0.013932544
AC005224.3	0.110451217
AC005224.4	0.572313813
AC005225.1	0.0560573
AC005225.2	0.114310533
AC005225.3	0
AC005225.4	0.129838784
AC005229.1	0
AC005229.2	0
AC005229.3	0
AC005229.4	2.114887879
AC005230.1	0.092150333
AC005234.1	0
AC005237.1	0.046981834
AC005237.2	0
AC005244.1	0.309886076
AC005244.2	0.036577778
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005253.1	0.131248601
AC005253.2	0
AC005255.1	3.28285562
AC005256.1	0.114684912
AC005258.1	0
AC005261.1	7.648174671
AC005261.2	0
AC005261.3	5.062945563
AC005261.4	0
AC005261.5	0.454439999
AC005262.1	0.145098591
AC005262.2	0
AC005264.1	0
AC005274.1	0.032746689
AC005277.1	0
AC005277.2	0
AC005280.1	0
AC005281.1	0
AC005288.1	10.19975607
AC005291.1	0.532631801
AC005291.2	0.401726118
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0
AC005301.1	0
AC005303.1	0
AC005304.1	0
AC005304.2	0
AC005304.3	0
AC005306.1	0
AC005307.1	0
AC005323.1	0.017817398
AC005323.2	0
AC005324.1	0
AC005324.2	0
AC005324.3	0.023814694
AC005324.4	0
AC005324.5	0
AC005324.6	0
AC005326.1	0
AC005329.1	0.036772396
AC005329.2	0
AC005329.3	0
AC005330.1	0.254567156
AC005332.1	0.06014392
AC005332.2	0
AC005332.3	0.035988825
AC005332.4	2.826494525
AC005332.5	1.205078173
AC005332.6	0.192050055
AC005332.7	10.95109386
AC005332.8	0.212139297
AC005336.1	0.021128596
AC005336.2	0
AC005336.3	0
AC005339.1	0
AC005341.1	0
AC005342.1	0
AC005342.2	0
AC005344.1	0
AC005345.1	0
AC005351.1	0.033413289
AC005355.1	0
AC005355.2	0
AC005357.1	0
AC005357.2	0
AC005358.1	0
AC005358.2	0
AC005363.1	0
AC005363.2	0.108524153
AC005377.1	0.057593958
AC005379.1	0
AC005381.1	0
AC005383.1	0.049181358
AC005387.1	0
AC005387.2	0.179064852
AC005391.1	0
AC005392.1	0
AC005392.2	0.610763836
AC005392.3	0
AC005393.1	0.719529999
AC005394.1	0
AC005410.1	0.226892829
AC005412.1	0
AC005476.1	0
AC005476.2	0.485849136
AC005479.1	0.178355484
AC005479.2	0.182804025
AC005480.1	0
AC005480.2	0.064212335
AC005481.1	0.015198406
AC005482.1	0
AC005486.1	0.121587245
AC005487.1	0.078986
AC005495.1	0
AC005498.1	0
AC005498.2	0.047534561
AC005498.3	0.179794538
AC005514.1	0
AC005515.1	0.408760233
AC005515.2	0
AC005518.1	0
AC005518.2	0
AC005519.1	0.05763609
AC005520.1	0
AC005520.2	3.855446717
AC005520.3	0
AC005520.4	0
AC005520.5	0
AC005521.1	0.030117941
AC005522.1	0
AC005523.1	0.125659545
AC005523.2	0
AC005529.1	0.090874896
AC005531.1	0.019310915
AC005532.1	0.021231079
AC005532.2	0
AC005534.1	0.03539467
AC005534.2	0.060653222
AC005537.1	0.435777295
AC005538.1	0
AC005538.2	0
AC005539.1	0
AC005540.1	0
AC005544.1	0
AC005544.2	0
AC005546.1	0.067168401
AC005549.1	0
AC005550.1	0
AC005550.2	0.042099137
AC005552.1	0
AC005559.1	0
AC005562.1	0.261062077
AC005562.2	0
AC005578.1	0.025747887
AC005580.1	0
AC005586.1	0.546194349
AC005586.2	0.062754707
AC005587.1	0.044362914
AC005588.1	0
AC005592.1	0
AC005593.1	0
AC005597.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0
AC005614.1	0
AC005614.2	0
AC005616.1	0
AC005618.1	0.075084373
AC005618.2	0
AC005618.3	0
AC005625.1	0
