	88d2f686-ae1a-4375-93d9-febc927f0082
	tumor
AC005002.1	0
AC005002.2	0
AC005005.1	0
AC005005.2	0.072290026
AC005005.3	3.99389576
AC005005.4	0.00164512
AC005006.1	0.110322128
AC005008.1	0.089771928
AC005008.2	0
AC005009.1	0.306359218
AC005009.2	0.059459329
AC005011.1	0
AC005013.1	0.186872176
AC005014.1	0.018461163
AC005014.2	0.5503214
AC005014.3	1.301220467
AC005019.1	0
AC005019.2	0
AC005020.1	0
AC005020.2	0.202732176
AC005021.1	0.309523491
AC005033.1	0.135154784
AC005034.1	0
AC005034.2	0.265412656
AC005034.3	3.553673399
AC005034.4	0.458346104
AC005034.5	1.473723705
AC005037.1	0.169394922
AC005040.1	0
AC005041.1	7.466026988
AC005041.2	0.179543855
AC005041.3	0.550250737
AC005042.1	0.034337762
AC005042.2	0.053863157
AC005042.3	0
AC005046.1	1.714141095
AC005050.1	0.249729181
AC005052.1	0.077163511
AC005062.1	0.085710483
AC005064.1	0.120969732
AC005066.1	0
AC005070.1	0
AC005070.2	0
AC005070.3	0.197253963
AC005072.1	0.077206886
AC005076.1	2.103574629
AC005077.1	0.073253893
AC005077.2	0.174137622
AC005077.3	0.222731431
AC005077.4	0.353693689
AC005082.1	0.027024309
AC005083.1	4.237912509
AC005084.1	0
AC005086.1	0.034294894
AC005086.2	0.240966753
AC005086.3	0
AC005086.4	0
AC005088.1	0.10025624
AC005089.1	0.024516028
AC005090.1	0
AC005091.1	0.09233684
AC005094.1	0
AC005096.1	0.397478921
AC005099.1	0.360265047
AC005102.1	0.401443568
AC005104.1	1.180846125
AC005104.2	0.040516534
AC005105.1	0
AC005150.1	0
AC005154.1	1.08014803
AC005154.2	0.797288413
AC005154.3	0.552165022
AC005154.4	0
AC005154.5	0.298589238
AC005154.6	0.039985749
AC005156.1	0
AC005160.1	0
AC005162.1	0
AC005162.2	0.190105259
AC005162.3	0.072642947
AC005165.1	0.425751231
AC005165.2	0
AC005176.1	0
AC005176.2	0
AC005178.1	0
AC005180.1	0.187190527
AC005180.2	0.391035016
AC005181.1	0
AC005183.1	0.013880854
AC005185.1	0
AC005186.1	0.040576381
AC005189.1	0.17722716
AC005191.1	0
AC005197.1	0
AC005208.1	0
AC005209.1	0
AC005220.1	0.093224694
AC005224.1	0.303834462
AC005224.2	0
AC005224.3	0.025673093
AC005224.4	0.133027651
AC005225.1	0.263854737
AC005225.2	0.089674243
AC005225.3	0.529291134
AC005225.4	0.172846264
AC005229.1	0
AC005229.2	0
AC005229.3	0
AC005229.4	5.599023666
AC005230.1	0
AC005234.1	0.063295414
AC005237.1	0.245708496
AC005237.2	0
AC005244.1	0.243099202
AC005244.2	0.038259345
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005253.1	1.812127787
AC005253.2	0
AC005255.1	2.03483036
AC005256.1	0.419850369
AC005258.1	0.021664203
AC005261.1	6.812715269
AC005261.2	0.210298257
AC005261.3	3.232956107
AC005261.4	0.077380873
AC005261.5	0.851635922
AC005262.1	0
AC005262.2	0
AC005264.1	0.059228568
AC005274.1	0.034252132
AC005277.1	0
AC005277.2	0
AC005280.1	0
AC005281.1	0.150769538
AC005288.1	14.15035229
AC005291.1	0.985670557
AC005291.2	1.365631848
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0.368233376
AC005301.1	0
AC005303.1	0
AC005304.1	0
AC005304.2	0.013859844
AC005304.3	0.053757749
AC005306.1	0.176279422
AC005307.1	0
AC005323.1	0
AC005323.2	0
AC005324.1	0
AC005324.2	0
AC005324.3	0.01992761
AC005324.4	0.030522455
AC005324.5	0.096217898
AC005324.6	0
AC005326.1	0.893340158
AC005329.1	0.015385164
AC005329.2	0
AC005329.3	0.040219927
AC005330.1	0.066567552
AC005332.1	1.027511667
AC005332.2	0.332109618
AC005332.3	0.103519119
AC005332.4	4.927391904
AC005332.5	4.233563515
AC005332.6	3.515383346
AC005332.7	20.70845673
AC005332.8	0.044378368
AC005336.1	5.922780566
AC005336.2	0.117018998
AC005336.3	0.061523426
AC005339.1	0
AC005341.1	0
AC005342.1	0
AC005342.2	0.174414031
AC005344.1	0
AC005345.1	0
AC005351.1	0.069898753
AC005355.1	0.384736833
AC005355.2	0.397296424
AC005357.1	0
AC005357.2	0
AC005358.1	0
AC005358.2	0.00746676
AC005363.1	0
AC005363.2	0.113513264
AC005377.1	0
AC005379.1	0
AC005381.1	0.00686927
AC005383.1	0.051442341
AC005387.1	0.312161476
AC005387.2	0.437026066
AC005391.1	0.0805578
AC005392.1	0.05494042
AC005392.2	0
AC005392.3	0
AC005393.1	0.658532428
AC005394.1	0
AC005410.1	0.17799272
AC005412.1	0
AC005476.1	0
AC005476.2	1.044602019
AC005479.1	0.046638726
AC005479.2	0.063735986
AC005480.1	0.048644439
AC005480.2	0
AC005481.1	0.103331229
AC005482.1	0
AC005486.1	0.127176898
AC005487.1	0
AC005495.1	0
AC005498.1	0
AC005498.2	0.198879347
AC005498.3	0.497016022
AC005514.1	0
