	779250be-012c-4e5b-9b4e-258192607c4b
	normal
AC005725.1	0.018031988
AC005726.1	0.370076025
AC005726.2	0.020686202
AC005726.3	0.889551851
AC005726.4	0
AC005726.5	0
AC005730.1	0
AC005730.2	0.066173133
AC005730.3	0.042813656
AC005736.1	1.731096765
AC005736.2	0.34416869
AC005736.3	0.064220484
AC005740.1	0
AC005740.2	0
AC005740.3	0.455517384
AC005740.4	0.704076608
AC005741.1	0
AC005746.1	0.353720045
AC005746.2	0.633459919
AC005746.3	0.03987226
AC005753.1	0.760669806
AC005757.1	0.066397449
AC005758.1	0
AC005759.1	0.232719772
AC005771.1	0
AC005772.1	0
AC005774.1	0
AC005775.1	0.036870113
AC005776.1	0.918574365
AC005776.2	1.470427624
AC005777.1	0
AC005779.1	0.087054433
AC005779.2	0
AC005785.1	0.557585695
AC005785.2	0.571165379
AC005786.1	0.508759675
AC005786.2	0
AC005786.3	0
AC005786.4	0
AC005789.1	0
AC005790.1	0.62679192
AC005796.1	0.03618891
AC005798.1	0
AC005808.1	0
AC005821.1	0.008052311
AC005822.1	0.075772718
AC005823.1	0
AC005823.2	0
AC005828.1	0.119616779
AC005828.2	0
AC005828.3	0.026514041
AC005828.4	0.141936576
AC005828.5	0.132420828
AC005828.6	0.202626698
AC005828.7	0
AC005829.1	0.069746875
AC005829.2	0.014838824
AC005831.1	0.433989691
AC005832.1	0.027394752
AC005832.2	0
AC005832.3	0
AC005832.4	0.038312465
AC005833.1	0.100367001
AC005833.2	0
AC005833.3	0
AC005837.1	0.027378797
AC005837.2	0
AC005837.3	0.273947517
AC005838.1	0
AC005838.2	0.642610012
AC005839.1	0.487699906
AC005840.1	0.997546822
AC005840.2	1.321025677
AC005840.3	0.043980989
AC005840.4	1.151036914
AC005841.1	0.109197199
AC005842.1	0
AC005845.1	0.215969651
AC005856.1	2.575106663
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0
AC005865.1	0.020865244
AC005865.2	0.020412242
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	1.935895789
AC005884.2	0.063440478
AC005899.1	0.111330714
AC005899.2	0
AC005899.3	0
AC005899.4	0
AC005899.5	0.170323891
AC005899.6	2.004889979
AC005899.7	0.719531541
AC005899.8	0.086322459
AC005901.1	0.227098522
AC005906.1	0
AC005906.2	0
AC005908.1	0
AC005908.2	0.206959596
AC005909.1	0
AC005911.1	0.790362618
AC005912.1	32.44569938
AC005912.2	0.058761742
AC005915.1	0
AC005920.1	0.022886755
AC005920.2	0.094396373
AC005920.3	0.025500078
AC005920.4	0.031849183
AC005921.1	0
AC005921.2	0
AC005921.3	0.050994229
AC005943.1	0.015638521
AC005943.2	0
AC005944.1	0
AC005951.1	0
AC005954.1	0.139493751
AC005954.2	0
AC005962.1	0.048066865
AC005972.1	0.103090776
AC005972.2	0
AC005972.3	0
AC005993.1	0
AC005996.1	0
AC005999.1	0
AC006001.1	0
AC006001.2	1.035743577
AC006001.3	1.269783065
AC006001.4	16.78056848
AC006003.1	0
AC006004.1	0.007305267
AC006006.1	0
AC006007.1	0
AC006011.1	0
AC006011.2	0.013531777
AC006012.1	0.022676987
AC006013.1	0
AC006015.1	0
AC006017.1	0.023283504
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	0.05071132
AC006022.1	0
AC006023.1	0.121002301
AC006023.2	0.281493377
AC006026.1	0
AC006026.2	0
AC006026.3	0.657474042
AC006027.1	0
AC006028.1	0
AC006030.1	0.012389641
AC006033.1	0.33105207
AC006033.2	0.549398405
AC006037.1	0
AC006037.2	0
AC006041.1	0.191095097
AC006042.1	3.080132048
AC006042.2	0.193113708
AC006042.3	0.256007591
AC006042.4	0.543461202
AC006055.1	0
AC006058.1	1.190620136
AC006058.2	0
AC006058.3	0.029316741
AC006058.4	0.910161919
AC006059.1	0.399230522
AC006063.1	0
AC006064.1	0.111927129
AC006064.2	0.221203888
AC006064.3	0.065701459
AC006064.4	0
AC006064.5	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	0
AC006065.5	0
AC006065.6	0
AC006070.1	0
AC006076.1	0
AC006077.1	0
AC006077.2	0.377172381
AC006111.1	0
AC006111.2	0.190737241
AC006111.3	0.327306486
AC006115.1	0.030309087
AC006115.2	0
AC006116.1	0.036088895
AC006116.10	0.647289418
AC006116.2	0
AC006116.3	0
AC006116.4	0.138670779
AC006116.5	0.168191034
AC006116.6	0
AC006116.7	0
AC006116.8	0.012353014
AC006116.9	0.030134227
AC006122.1	0.106839532
AC006128.1	0.839621927
AC006130.1	0.02823387
AC006130.2	0
AC006133.1	0
AC006141.1	0.007221105
AC006144.1	0
AC006145.1	0
AC006146.1	0
AC006148.1	0
AC006148.2	0.024107382
AC006150.1	0
AC006153.1	0
AC006157.1	0.428136557
AC006158.1	0
AC006159.1	0.365357984
AC006159.2	0.430240118
AC006160.1	0.334289024
AC006195.1	0
AC006197.1	0
AC006199.1	0
AC006205.1	0
AC006205.2	0
AC006206.1	0
AC006206.2	0
AC006210.1	0
AC006210.2	0.040674362
AC006213.1	0.166986503
AC006213.2	0.278669458
AC006213.3	0.212163609
AC006213.4	0.790904631
AC006213.5	0.380863146
AC006213.6	0.063744093
AC006236.1	0
AC006237.1	0.5223266
AC006238.1	1.966060797
AC006249.1	0
AC006252.1	0.028464665
AC006254.1	0.320095636
AC006254.2	0.168492452
AC006254.3	0.017726016
AC006262.1	0.013254778
AC006262.2	0
AC006262.3	0
AC006262.4	0
AC006270.1	0.360602046
AC006270.2	0.024033433
AC006270.3	0.045375863
