	00068002-f4f0-4610-bfe6-67169c760d21
	tumor
AC005008.2	0
AC005009.1	0
AC005009.2	0
AC005011.1	0
AC005013.1	0
AC005014.1	0.019203947
AC005014.2	0.477052975
AC005014.3	0.451191683
AC005019.1	0
AC005019.2	0
AC005020.1	0.108651989
AC005020.2	0.052722275
AC005021.1	0.160988582
AC005033.1	0
AC005034.1	0
AC005034.2	0.207068647
AC005034.3	4.661711431
AC005034.4	0.158929217
AC005034.5	1.349056676
AC005037.1	0
AC005040.1	0
AC005041.1	0.791907939
AC005041.2	0
AC005041.3	0.396270045
AC005042.1	0.46435144
AC005042.2	0.168091019
AC005042.3	0.164226858
AC005046.1	0.777252872
AC005050.1	0
AC005052.1	0
AC005062.1	0.01114488
AC005064.1	1.352747173
AC005066.1	0
AC005070.1	0
AC005070.2	0
AC005070.3	0.118794484
AC005072.1	0.032125321
AC005076.1	0.386155044
AC005077.1	0.228603786
AC005077.2	0.769862195
AC005077.3	0
AC005077.4	2.125786277
AC005082.1	0.056223263
AC005083.1	0.444014012
AC005084.1	0
AC005086.1	0.142698992
AC005086.2	0.125331023
AC005086.3	0.130481613
AC005086.4	0.134157151
AC005088.1	0
AC005089.1	0.089258506
AC005090.1	0
AC005091.1	0
AC005094.1	0
AC005096.1	0.091882551
AC005099.1	0.608985495
AC005102.1	0.656221723
AC005104.1	0.32325196
AC005104.2	0
AC005105.1	0
AC005150.1	0
AC005154.1	0.516386736
AC005154.2	0.301588108
AC005154.3	0.102568102
AC005154.4	0
AC005154.5	0
AC005154.6	0.041594575
AC005156.1	0.099739872
AC005160.1	0
AC005162.1	0
AC005162.2	0.39550828
AC005162.3	0
AC005165.1	0
AC005165.2	0.225595841
AC005176.1	0
AC005176.2	0
AC005178.1	0
AC005180.1	0
AC005180.2	0.050846038
AC005181.1	0
AC005183.1	0.0288787
AC005185.1	0
AC005186.1	0
AC005189.1	0
AC005191.1	0
AC005197.1	0.209190873
AC005208.1	0
AC005209.1	0
AC005220.1	0
AC005224.1	0.260284076
AC005224.2	0
AC005224.3	0
AC005224.4	0.345950039
AC005225.1	0.060993539
AC005225.2	0.031094095
AC005225.3	0
AC005225.4	0.128429093
AC005229.1	0
AC005229.2	0.071617727
AC005229.3	0
AC005229.4	3.198164883
AC005230.1	0.100264818
AC005234.1	0
AC005237.1	0.051118915
AC005237.2	0.260963226
AC005244.1	0.084293431
AC005244.2	0
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005253.1	0.785432797
AC005253.2	0
AC005255.1	1.984407863
AC005256.1	1.372620985
AC005258.1	0
AC005261.1	7.992810853
AC005261.2	0.164069703
AC005261.3	4.023261573
AC005261.4	0.241482872
AC005261.5	0.927106197
AC005262.1	0.078937771
AC005262.2	0
AC005264.1	0.012322326
AC005274.1	0.178151329
AC005277.1	0
AC005277.2	0
AC005280.1	0
AC005281.1	0
AC005288.1	15.88264675
AC005291.1	3.78925932
AC005291.2	3.769995512
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0
AC005301.1	0
AC005303.1	0
AC005304.1	0.070556724
AC005304.2	0
AC005304.3	0.055920691
AC005306.1	0.366744041
AC005307.1	0
AC005323.1	0
AC005323.2	0.074318526
AC005324.1	0.072251513
AC005324.2	0
AC005324.3	0.025911746
AC005324.4	0
AC005324.5	0.050044612
AC005324.6	0
AC005326.1	0
AC005329.1	0.048012557
AC005329.2	0
AC005329.3	0.062757262
AC005330.1	0.115409827
AC005332.1	0.152693368
AC005332.2	0.049353149
AC005332.3	0.019578947
AC005332.4	1.473623059
AC005332.5	1.581983805
AC005332.6	0.814949511
AC005332.7	5.537048218
AC005332.8	0.046163931
AC005336.1	30.85139587
AC005336.2	1.430295252
AC005336.3	1.653302856
AC005339.1	0
AC005341.1	0
AC005342.1	0
AC005342.2	0
AC005344.1	0
AC005345.1	0
AC005351.1	0.072711128
AC005355.1	0
AC005355.2	0
AC005357.1	0
AC005357.2	0
AC005358.1	0
AC005358.2	0.007767185
AC005363.1	0
AC005363.2	0.118080468
AC005377.1	0
AC005379.1	0
AC005381.1	0
AC005383.1	0
AC005387.1	0.081180322
AC005387.2	0.389665544
AC005391.1	0.167598083
AC005392.1	0
AC005392.2	1.613897159
AC005392.3	0
AC005393.1	0.195722419
AC005394.1	0
AC005410.1	0.555462762
AC005412.1	0
AC005476.1	0.071978522
AC005476.2	0.587368412
AC005479.1	0.194060939
AC005479.2	0.596703617
AC005480.1	0.02168642
AC005480.2	0.069866683
AC005481.1	0.024805098
AC005482.1	0
AC005486.1	0
AC005487.1	0
AC005495.1	0
AC005498.1	0.061452631
AC005498.2	0.206881254
AC005498.3	0.68469349
AC005514.1	0
AC005515.1	0.011118861
AC005515.2	0
AC005518.1	0
AC005518.2	0
AC005519.1	0.229941628
AC005520.1	0.015467103
AC005520.2	2.367444729
AC005520.3	0
AC005520.4	0
AC005520.5	0
AC005521.1	0
AC005522.1	0.189241545
AC005523.1	0.273449505
AC005523.2	0
AC005529.1	0.19775414
AC005531.1	0.021011377
AC005532.1	0
AC005532.2	0
AC005534.1	0
AC005534.2	0.065994164
AC005537.1	0.246558287
AC005538.1	0
AC005538.2	0
AC005539.1	0.019320807
AC005540.1	0.093282285
AC005544.1	0
AC005544.2	0
AC005546.1	0.803913569
AC005549.1	0
AC005550.1	0
AC005550.2	0.007634377
AC005552.1	0
AC005559.1	0
AC005562.1	0.407138949
AC005562.2	0
AC005578.1	0.05603034
AC005580.1	0
AC005586.1	1.089532775
AC005586.2	0.341403503
AC005587.1	0
AC005588.1	0
AC005592.1	0
AC005593.1	0.055486356
AC005597.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0
AC005614.1	0.007822467
AC005614.2	0
AC005616.1	0
AC005618.1	0.08169608
AC005618.2	0
AC005618.3	0
AC005625.1	0.060541257
AC005632.1	0.049610197
AC005632.2	0.31060297
AC005632.3	0
AC005632.4	0
AC005670.1	0.217028911
AC005670.2	0
AC005674.1	0.498047464
AC005674.2	0.154682049
AC005682.1	2.006321569
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005695.1	0.090683801
AC005695.2	0
AC005695.3	0
AC005696.1	0.193513363
AC005696.2	0
AC005696.3	0.660159447
AC005696.4	0.517572918
AC005697.1	0.049098751
AC005697.2	0.012610535
AC005699.1	0
AC005702.1	0
AC005702.2	0.039496162
AC005702.3	0.068691041
AC005702.4	0
AC005703.1	0
AC005703.2	0
AC005703.3	0
AC005703.4	0
AC005703.5	0
AC005703.6	0.107507424
AC005722.1	0.029642607
AC005722.2	0.635952668
AC005722.3	0.128141136
AC005725.1	0.405559075
AC005726.1	0.923508147
AC005726.2	0.018861698
AC005726.3	1.497404711
AC005726.4	0
AC005726.5	0
AC005730.1	0
AC005730.2	0.02413469
AC005730.3	0.156150127
AC005736.1	0.04099781
AC005736.2	0
AC005736.3	0
AC005740.1	0
AC005740.2	0
AC005740.3	0
AC005740.4	0.089578286
AC005741.1	0
AC005746.1	0.150510393
AC005746.2	0.060798879
AC005746.3	0
AC005753.1	0
AC005757.1	0
AC005758.1	0
AC005759.1	0
AC005771.1	0
AC005772.1	0
AC005774.1	0
AC005775.1	0.26894563
AC005776.1	0.394144458
AC005776.2	0.662291918
AC005777.1	0
AC005779.1	0.105835086
AC005779.2	0.155866218
AC005785.1	0.328969341
AC005785.2	0.362288092
AC005786.1	0
AC005786.2	0
AC005786.3	0
AC005786.4	0.041899521
AC005789.1	0
AC005790.1	0.38100631
AC005796.1	0.065994164
AC005798.1	0
AC005808.1	0
AC005821.1	0.007342105
AC005822.1	0.110543417
AC005823.1	0
AC005823.2	0.043962267
AC005828.1	0
AC005828.2	0
AC005828.3	0
AC005828.4	0.051767162
AC005828.5	0
AC005828.6	0.123170143
AC005828.7	0
AC005829.1	0.127190534
AC005829.2	0.027060107
AC005831.1	2.256401539
AC005832.1	0.099914242
AC005832.2	0
AC005832.3	0
AC005832.4	0
AC005833.1	0
AC005833.2	0
AC005833.3	0
AC005837.1	0.149784076
AC005837.2	0
AC005837.3	0.199828484
AC005838.1	0
AC005838.2	0.450717243
