	944c32ab-2edb-486a-92db-fecd68f690af
	tumor
AC005262.1	0.486667949
AC005262.2	0
AC005264.1	0.043411273
AC005274.1	0
AC005277.1	0
AC005277.2	0
AC005280.1	0.18505651
AC005281.1	0.027626438
AC005288.1	16.18340699
AC005291.1	0
AC005291.2	0
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0.067473687
AC005301.1	0
AC005303.1	0
AC005304.1	0.186427299
AC005304.2	0
AC005304.3	0.04925183
AC005306.1	0.834436627
AC005307.1	0
AC005323.1	0
AC005323.2	0
AC005324.1	0.031817554
AC005324.2	0
AC005324.3	0.082157841
AC005324.4	0.005592819
AC005324.5	0.176306027
AC005324.6	0
AC005326.1	1.227691969
AC005329.1	0.140955953
AC005329.2	0
AC005329.3	0.221092404
AC005330.1	0.101646548
AC005332.1	0.326603551
AC005332.2	0.17387002
AC005332.3	0.189684508
AC005332.4	4.570812813
AC005332.5	2.171575845
AC005332.6	1.849617828
AC005332.7	13.19989524
AC005332.8	0.121975858
AC005336.1	39.44219718
AC005336.2	0.053605294
AC005336.3	0.037577731
AC005339.1	0
AC005341.1	0
AC005342.1	0.040012218
AC005342.2	0.079897414
AC005344.1	0
AC005345.1	0
AC005351.1	0
AC005355.1	0.176244295
AC005355.2	0.2079974
AC005357.1	0
AC005357.2	0
AC005358.1	0
AC005358.2	0.006840904
AC005363.1	0
AC005363.2	0.3119961
AC005377.1	0
AC005379.1	0.306922992
AC005381.1	0
AC005383.1	0.141391491
AC005387.1	0.857989274
AC005387.2	0.800789989
AC005391.1	0.147611058
AC005392.1	0
AC005392.2	33.19458834
AC005392.3	0.164494676
AC005393.1	0.689525626
AC005394.1	0
AC005410.1	0.108715704
AC005412.1	0
AC005476.1	0.126789347
AC005476.2	1.810624847
AC005479.1	0.726401785
AC005479.2	0.467149612
AC005480.1	0.044567113
AC005480.2	0.430742781
AC005481.1	0.036411582
AC005482.1	0
AC005486.1	0.116517062
AC005487.1	0.037846143
AC005495.1	0
AC005498.1	0.216496218
AC005498.2	0.204985673
AC005498.3	0.836871689
AC005514.1	0
AC005515.1	0.088135863
AC005515.2	0
AC005518.1	0.022551689
AC005518.2	0
AC005519.1	1.638569128
AC005520.1	0.020433845
AC005520.2	2.743570352
AC005520.3	0.068020771
AC005520.4	0
AC005520.5	0
AC005521.1	0.173172147
AC005522.1	0.111115609
AC005523.1	0.120419547
AC005523.2	0
AC005529.1	0
AC005531.1	0.018505651
AC005532.1	0.040691488
AC005532.2	0.067473687
AC005534.1	0.915805263
AC005534.2	0.87185977
AC005537.1	1.241680052
AC005538.1	0
AC005538.2	0
AC005539.1	0
AC005540.1	0
AC005544.1	0.164137078
AC005544.2	0
AC005546.1	0.386204891
AC005549.1	0
AC005550.1	0
AC005550.2	0
AC005552.1	0
AC005559.1	0
AC005562.1	0.454486035
AC005562.2	0
AC005578.1	0.049348403
AC005580.1	0
AC005586.1	2.486235816
AC005586.2	0.841929737
AC005587.1	0.085025964
AC005588.1	0
AC005592.1	0
AC005593.1	0.097738584
AC005597.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0
AC005614.1	0.006889594
AC005614.2	0
AC005616.1	0
AC005618.1	0.319792698
AC005618.2	0
AC005618.3	0
AC005625.1	0.053321367
AC005632.1	0
AC005632.2	0.638310861
AC005632.3	0
AC005632.4	0
AC005670.1	1.146881865
AC005670.2	0
AC005674.1	0.657978702
AC005674.2	0.595133301
AC005682.1	0.446053047
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005695.1	0.199673103
AC005695.2	0
AC005695.3	0.542407012
AC005696.1	1.761169856
AC005696.2	0
AC005696.3	0.498370007
AC005696.4	0.119960369
AC005697.1	0
AC005697.2	0.022213315
AC005699.1	0.237195447
AC005702.1	0
AC005702.2	0.01739301
AC005702.3	0
AC005702.4	0.059780725
AC005703.1	0
AC005703.2	0
AC005703.3	0
AC005703.4	0
AC005703.5	0
AC005703.6	0.056811931
AC005722.1	0.052215115
AC005722.2	0.649729563
AC005722.3	3.724365996
AC005725.1	0.009653888
AC005726.1	2.893736354
AC005726.2	0.099674001
AC005726.3	9.616473666
AC005726.4	0
AC005726.5	0.18591088
AC005730.1	0
AC005730.2	0.021256491
AC005730.3	0.206292503
AC005736.1	0.288868699
AC005736.2	0.422713062
AC005736.3	0
AC005740.1	0.096427913
AC005740.2	0
AC005740.3	0.219485628
AC005740.4	0.078895565
AC005741.1	0
AC005746.1	0.132561172
AC005746.2	0.107096533
AC005746.3	0
AC005753.1	0.04072441
AC005757.1	0.053321367
AC005758.1	0
AC005759.1	0.083061668
AC005771.1	0
AC005772.1	0
AC005774.1	0
AC005775.1	0.325699458
AC005776.1	0.173570244
AC005776.2	0.469493283
AC005777.1	0
AC005779.1	0
AC005779.2	0.091518856
AC005785.1	1.409179662
AC005785.2	1.715072061
AC005786.1	0.326853057
AC005786.2	0
AC005786.3	0
AC005786.4	0.073805529
AC005789.1	0
AC005790.1	0.223712759
AC005796.1	0.058123985
AC005798.1	0
AC005808.1	0
AC005821.1	0.006466517
AC005822.1	0.170380849
AC005823.1	0.043021684
AC005823.2	0
AC005828.1	0.048029934
AC005828.2	0.044782358
AC005828.3	0
AC005828.4	0.091187266
AC005828.5	0
AC005828.6	0
AC005828.7	0
AC005829.1	0.261385456
AC005829.2	0
AC005831.1	0.430090086
AC005832.1	0.04399945
AC005832.2	0
AC005832.3	0
AC005832.4	0
AC005833.1	0.020150269
AC005833.2	0
AC005833.3	0
AC005837.1	0.513027949
AC005837.2	0
AC005837.3	0
AC005838.1	0
AC005838.2	0.555753305
AC005839.1	0.869471857
AC005840.1	3.204373734
AC005840.2	1.675053935
AC005840.3	0.171551985
AC005840.4	2.226856969
AC005841.1	0.789230552
AC005842.1	0.077439032
AC005845.1	0.077083263
AC005856.1	0
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0.025184475
AC005865.1	0.083780577
AC005865.2	0.032784653
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	0.117331867
AC005884.2	0.305680389
AC005899.1	0.178811264
AC005899.2	0
AC005899.3	0
AC005899.4	0
AC005899.5	0.136780899
AC005899.6	2.881149167
AC005899.7	0.42802186
AC005899.8	0.072970964
AC005901.1	0
AC005906.1	0
AC005906.2	0
AC005908.1	0
AC005908.2	0
AC005909.1	0
AC005911.1	1.545384189
AC005912.1	43.72268477
AC005912.2	0.020973071
AC005915.1	0
AC005920.1	0.024506023
AC005920.2	0
AC005920.3	0.184303636
AC005920.4	0.306922992
AC005921.1	0
AC005921.2	0
AC005921.3	0.070202749
AC005943.1	0.02511745
AC005943.2	0
AC005944.1	0
AC005951.1	0.050843809
AC005954.1	0.224044677
AC005954.2	0
AC005962.1	1.158022333
AC005972.1	0
AC005972.2	0
AC005972.3	0
AC005993.1	0.063394673
AC005996.1	0
AC005999.1	0
AC006001.1	0.106192765
AC006001.2	7.861547774
AC006001.3	1.260247538
AC006001.4	27.97117437
AC006003.1	0
AC006004.1	0.046932747
AC006006.1	0
AC006007.1	0
AC006011.1	0
AC006011.2	0.08693501
AC006012.1	0.837708775
AC006013.1	0
AC006015.1	0
AC006017.1	0.448755163
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	0.013574803
AC006022.1	0
AC006023.1	0.09717253
AC006023.2	0.301409406
AC006026.1	0.027917566
AC006026.2	0
AC006026.3	0.1759978
AC006027.1	0
AC006028.1	0
AC006030.1	0.079597345
AC006033.1	0
AC006033.2	0.12788458
AC006037.1	0
AC006037.2	0
AC006041.1	0
AC006042.1	1.584987819
AC006042.2	0.044309305
AC006042.3	0.308385525
AC006042.4	0.072738975
AC006055.1	0
AC006058.1	3.084494299
AC006058.2	0.091852866
AC006058.3	0.800468945
AC006058.4	2.15507725
AC006059.1	0.288546711
AC006063.1	0
AC006064.1	0.044942295
AC006064.2	0.504270563
AC006064.3	0.738674204
AC006064.4	0
AC006064.5	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	0
AC006065.5	0
AC006065.6	0
AC006070.1	0
AC006076.1	0
AC006077.1	0.073375176
AC006077.2	0.936215867
AC006111.1	0
AC006111.2	1.531741151
AC006111.3	0.131423944
AC006115.1	0
AC006115.2	0
AC006116.1	0.057963347
AC006116.10	0.389860875
AC006116.2	0.101893463
AC006116.3	0
AC006116.4	0.222722879
AC006116.5	0.045022693
AC006116.6	0.045634969
AC006116.7	0
AC006116.8	0.029760763
AC006116.9	0
AC006122.1	0.34319571
AC006128.1	10.56103353
AC006130.1	0
AC006130.2	0
AC006133.1	0
AC006141.1	0.011598012
AC006144.1	0
AC006145.1	0.009493657
AC006146.1	0
AC006148.1	0.090780957
AC006148.2	0.154878064
AC006150.1	0
AC006153.1	0
AC006157.1	0
AC006158.1	0
AC006159.1	0
AC006159.2	0
AC006160.1	0.402682966
AC006195.1	0.027267265
AC006197.1	0
AC006199.1	0
AC006205.1	0
AC006205.2	0.067473687
AC006206.1	0.007430672
AC006206.2	0.815909999
AC006210.1	0
AC006210.2	0.06532819
AC006213.1	0.207639893
AC006213.2	0.355767554
AC006213.3	0.876244365
AC006213.4	1.071809945
AC006213.5	0.786490168
AC006213.6	0.156582871
AC006236.1	0
AC006237.1	0
AC006238.1	0.141391491
AC006249.1	0
AC006252.1	0.342883997
AC006254.1	0.274991337
AC006254.2	0
AC006254.3	0
AC006262.1	0.140506449
AC006262.2	0
AC006262.3	0
AC006262.4	0.0879989
AC006270.1	0.210608246
AC006270.2	0
AC006270.3	0
AC006272.1	0.410342696
