	48a39e37-0380-4465-8311-6c5c6aff522a
	tumor
AC005476.2	0.350917149
AC005479.1	0.797085366
AC005479.2	0.33008738
AC005480.1	0.017994898
AC005480.2	0.104352807
AC005481.1	0.053515034
AC005482.1	0
AC005486.1	0.065864658
AC005487.1	0
AC005495.1	0.020819658
AC005498.1	0
AC005498.2	0.09012431
AC005498.3	0.278274153
AC005514.1	0
AC005515.1	0.027678533
AC005515.2	0
AC005518.1	0
AC005518.2	0
AC005519.1	0.395477038
AC005520.1	0.0154011
AC005520.2	3.411942448
AC005520.3	0.038450719
AC005520.4	0
AC005520.5	0
AC005521.1	0.016315099
AC005522.1	0
AC005523.1	0.034035326
AC005523.2	0
AC005529.1	0
AC005531.1	0
AC005532.1	0.023002047
AC005532.2	0
AC005534.1	0
AC005534.2	0.065712545
AC005537.1	0.475274708
AC005538.1	0
AC005538.2	0
AC005539.1	0
AC005540.1	0.185768436
AC005544.1	0
AC005544.2	0
AC005546.1	0.145542364
AC005549.1	0
AC005550.1	0
AC005550.2	0.011402698
AC005552.1	0
AC005559.1	0
AC005562.1	0.287552264
AC005562.2	0
AC005578.1	0.01394781
AC005580.1	0
AC005586.1	0.71503677
AC005586.2	0.16997331
AC005587.1	0
AC005588.1	0
AC005592.1	0.017349715
AC005593.1	0.027624789
AC005597.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0.009341278
AC005614.1	0
AC005614.2	0
AC005616.1	0
AC005618.1	0.488084732
AC005618.2	0
AC005618.3	0
AC005625.1	0
AC005632.1	0.049398493
AC005632.2	0.240549185
AC005632.3	0.046190799
AC005632.4	0
AC005670.1	0
AC005670.2	0
AC005674.1	0.092985399
AC005674.2	0.113489872
AC005682.1	0.387914549
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005695.1	0.01003298
AC005695.2	0
AC005695.3	0.061322268
AC005696.1	0.353260557
AC005696.2	0
AC005696.3	0.14085907
AC005696.4	0.962917438
AC005697.1	0.171112307
AC005697.2	0.006278361
AC005699.1	0.007056928
AC005702.1	0
AC005702.2	0.029495714
AC005702.3	0
AC005702.4	0
AC005703.1	0
AC005703.2	0
AC005703.3	0.076282928
AC005703.4	0.026443803
AC005703.5	0
AC005703.6	0.064229192
AC005722.1	0.014758056
AC005722.2	0
AC005722.3	0
AC005725.1	0
AC005726.1	0.163576863
AC005726.2	0.046953023
AC005726.3	0.372753697
AC005726.4	0
AC005726.5	0.013136441
AC005730.1	0
AC005730.2	0
AC005730.3	0
AC005736.1	0.102057146
AC005736.2	0.018380835
AC005736.3	0
AC005740.1	0
AC005740.2	0
AC005740.3	0.082713756
AC005740.4	0.118928034
AC005741.1	0
AC005746.1	0.032114596
AC005746.2	0.090809145
AC005746.3	0.036200423
AC005753.1	0.069061971
AC005757.1	0.060282907
AC005758.1	0
AC005759.1	0.023476512
AC005771.1	0
AC005772.1	0
AC005774.1	0
AC005775.1	0.100424231
AC005776.1	0.196231256
AC005776.2	0.160845292
AC005777.1	0
AC005779.1	0.026345863
AC005779.2	0.077600542
AC005785.1	0.096780722
AC005785.2	0.157824663
AC005786.1	0
AC005786.2	0
AC005786.3	0
AC005786.4	0
AC005789.1	0
AC005790.1	0.063230071
AC005796.1	0.065712545
AC005798.1	0
AC005808.1	0
AC005821.1	0.003655387
AC005822.1	0.055035846
AC005823.1	0
AC005823.2	0
AC005828.1	0
AC005828.2	0.02531453
AC005828.3	0
AC005828.4	0.025773127
AC005828.5	0.040075397
AC005828.6	0.24528907
AC005828.7	0.025587709
AC005829.1	0.084431846
AC005829.2	0.538892655
AC005831.1	2.146170959
AC005832.1	0.024871969
AC005832.2	0
AC005832.3	0
AC005832.4	0.017392135
AC005833.1	0
AC005833.2	0
AC005833.3	0
AC005837.1	0.066286621
AC005837.2	0
AC005837.3	0.149231812
AC005838.1	0
AC005838.2	0.224396941
AC005839.1	0.349802216
AC005840.1	0.07547356
AC005840.2	0.173593374
AC005840.3	0.05704397
AC005840.4	0.213757754
AC005841.1	0.049570614
AC005842.1	0
AC005845.1	0.130720668
AC005856.1	0
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0.109144636
AC005865.1	0.042623467
AC005865.2	0.049419943
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	0
AC005884.2	0
AC005899.1	0.050539134
AC005899.2	0
AC005899.3	0
AC005899.4	0
AC005899.5	0
AC005899.6	0.383212555
AC005899.7	0.048390361
AC005899.8	0.016499584
AC005901.1	0.051546254
AC005906.1	0
AC005906.2	0
AC005908.1	0
AC005908.2	0.026842955
AC005909.1	0
AC005911.1	0.530383823
AC005912.1	8.145520975
AC005912.2	0.005927819
AC005915.1	0
AC005920.1	0
AC005920.2	0.042851705
AC005920.3	0
AC005920.4	0
AC005921.1	0
AC005921.2	0
AC005921.3	0.033070121
AC005943.1	0
AC005943.2	0
AC005944.1	0
AC005951.1	0
AC005954.1	0.126647769
AC005954.2	0
AC005962.1	0.06546058
AC005972.1	0.031199048
AC005972.2	0
AC005972.3	0.029577476
AC005993.1	1.397591631
AC005996.1	0.075674288
AC005999.1	0
AC006001.1	0.090042823
AC006001.2	0.879693425
AC006001.3	0.55344399
AC006001.4	14.40685173
AC006003.1	0
AC006004.1	0
AC006006.1	0
AC006007.1	0
AC006011.1	0
AC006011.2	0
AC006012.1	0
AC006013.1	0
AC006015.1	0
AC006017.1	0.169114604
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	0.023020657
AC006022.1	0
AC006023.1	0
AC006023.2	0
AC006026.1	0
AC006026.2	0
AC006026.3	0.198975749
AC006027.1	0
AC006028.1	0
AC006030.1	0.008436509
AC006033.1	0.100188494
AC006033.2	0.216871434
AC006037.1	0
AC006037.2	0
AC006041.1	0
AC006042.1	0.461555388
AC006042.2	0.025047123
AC006042.3	0.242116509
AC006042.4	0.041117821
AC006055.1	0
AC006058.1	0.134771023
AC006058.2	0.051922504
AC006058.3	0.093159366
AC006058.4	0.119266303
AC006059.1	0.308095571
AC006063.1	0
AC006064.1	0.050809879
AC006064.2	0.304489074
AC006064.3	0.119302022
AC006064.4	0
AC006064.5	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	0.071611239
