	c6d03bd4-42cd-445a-9222-7ea265bd103f
	tumor
AC005086.2	0.106471856
AC005086.3	0
AC005086.4	0
AC005088.1	0
AC005089.1	0
AC005090.1	0
AC005091.1	0.02039965
AC005094.1	0
AC005096.1	0
AC005099.1	1.711229637
AC005102.1	0.050679714
AC005104.1	0.439377072
AC005104.2	0.07160939
AC005105.1	0.061301978
AC005150.1	0
AC005154.1	0.465110238
AC005154.2	0.128103342
AC005154.3	0.034853673
AC005154.4	0
AC005154.5	0.065966259
AC005154.6	0
AC005156.1	0.169463059
AC005160.1	0
AC005162.1	0
AC005162.2	0.125997837
AC005162.3	0.019752305
AC005165.1	0.01635821
AC005165.2	0.191649341
AC005176.1	0
AC005176.2	0
AC005178.1	0
AC005180.1	0.082710675
AC005180.2	0
AC005181.1	0
AC005183.1	0.012266591
AC005185.1	0
AC005186.1	0
AC005189.1	0.156616666
AC005191.1	0
AC005197.1	0.035542582
AC005208.1	0
AC005209.1	0
AC005220.1	0.027461067
AC005224.1	0.063176534
AC005224.2	0
AC005224.3	0.022687461
AC005224.4	0.337977248
AC005225.1	0.051815546
AC005225.2	0.079245647
AC005225.3	0.374190107
AC005225.4	0.087282996
AC005229.1	0.059353504
AC005229.2	0
AC005229.3	0
AC005229.4	1.060262051
AC005230.1	0
AC005234.1	0
AC005237.1	0.347414429
AC005237.2	0
AC005244.1	0.14321878
AC005244.2	0
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005253.1	0.533795933
AC005253.2	0
AC005255.1	5.506961008
AC005256.1	0.371024198
AC005258.1	0
AC005261.1	3.010217928
AC005261.2	0.046460446
AC005261.3	1.104232305
AC005261.4	0
AC005261.5	0.105013338
AC005262.1	0.201178866
AC005262.2	0
AC005264.1	0.031404377
AC005274.1	0
AC005277.1	0
AC005277.2	0
AC005280.1	0
AC005281.1	0.399707737
AC005288.1	6.943945897
AC005291.1	0.075742849
AC005291.2	0.232080145
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0.065081993
AC005301.1	0
AC005303.1	0
AC005304.1	0
AC005304.2	0
AC005304.3	0
AC005306.1	0
AC005307.1	0.03092431
AC005323.1	0
AC005323.2	0
AC005324.1	0
AC005324.2	0
AC005324.3	0.026415216
AC005324.4	0
AC005324.5	0
AC005324.6	0
AC005326.1	0
AC005329.1	0.027191916
AC005329.2	0
AC005329.3	0.035542582
AC005330.1	0.098043551
AC005332.1	0.092654898
AC005332.2	0.083853483
AC005332.3	0.024949212
AC005332.4	1.79617544
AC005332.5	0.811204028
AC005332.6	0.692320106
AC005332.7	17.66025825
AC005332.8	0.03921742
AC005336.1	8.456417967
AC005336.2	0.025852591
AC005336.3	0
AC005339.1	0
AC005341.1	0
AC005342.1	0
AC005342.2	0
AC005344.1	0
AC005345.1	0
AC005351.1	0
AC005355.1	0.101998249
AC005355.2	0.050156164
AC005357.1	0
AC005357.2	0
AC005358.1	0
AC005358.2	0.006598419
AC005363.1	0
AC005363.2	0
AC005377.1	0
AC005379.1	0
AC005381.1	0
AC005383.1	0.090919787
AC005387.1	0.206894175
AC005387.2	0.05517178
AC005391.1	0.071189394
AC005392.1	0
AC005392.2	0.241949334
AC005392.3	0
AC005393.1	0.041567779
AC005394.1	0
AC005410.1	0.052431065
AC005412.1	0
AC005476.1	0
AC005476.2	0.374238179
AC005479.1	0.164859648
AC005479.2	0.168971577
AC005480.1	0.006141053
AC005480.2	0.296767521
AC005481.1	0.007024185
AC005482.1	0
AC005486.1	0
AC005487.1	0
AC005495.1	0
AC005498.1	0
AC005498.2	0.131813122
AC005498.3	0.083094906
AC005514.1	0
AC005515.1	0.075566018
AC005515.2	0
AC005518.1	0
AC005518.2	0
AC005519.1	0.088791453
AC005520.1	0.052558773
AC005520.2	2.434615177
AC005520.3	0.131219369
AC005520.4	0
AC005520.5	0
AC005521.1	0
AC005522.1	0
AC005523.1	0.058075558
AC005523.2	0
AC005529.1	0
AC005531.1	0.053549081
AC005532.1	0.137371934
AC005532.2	0
AC005534.1	0.032716419
AC005534.2	0
AC005537.1	0.381320002
AC005538.1	0
AC005538.2	0
AC005539.1	0
AC005540.1	0.079245647
AC005544.1	0
AC005544.2	0
AC005546.1	0
AC005549.1	0
AC005550.1	0
AC005550.2	0
AC005552.1	0
AC005559.1	0
AC005562.1	0.663596957
AC005562.2	0
AC005578.1	0.071398774
AC005580.1	0.021017821
AC005586.1	0.757297223
AC005586.2	0.522055553
AC005587.1	0.041006053
AC005588.1	0
AC005592.1	0
AC005593.1	0.188548219
AC005597.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0
AC005614.1	0
AC005614.2	0
AC005616.1	0
AC005618.1	0.030845722
AC005618.2	0
AC005618.3	0
AC005625.1	0
AC005632.1	0
AC005632.2	0.762276768
AC005632.3	0
AC005632.4	0
AC005670.1	0.122914345
AC005670.2	0
AC005674.1	0.052887981
AC005674.2	0.076077326
AC005682.1	0.562624287
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005695.1	0
AC005695.2	0
AC005695.3	0
AC005696.1	0.219192625
AC005696.2	0
AC005696.3	0.560822055
AC005696.4	0.023141643
AC005697.1	0
AC005697.2	0.021425934
AC005699.1	0.01204146
AC005702.1	0
AC005702.2	0.033552983
AC005702.3	0
AC005702.4	0
AC005703.1	0
AC005703.2	0
AC005703.3	0
AC005703.4	0
AC005703.5	0
AC005703.6	0.146128417
AC005722.1	0
AC005722.2	0.288137486
AC005722.3	1.088591176
AC005725.1	0.018623386
AC005726.1	0.120698984
AC005726.2	0
AC005726.3	0.212013827
AC005726.4	0.081461689
AC005726.5	0
AC005730.1	0
AC005730.2	0
AC005730.3	0.19898019
AC005736.1	0.052243005
AC005736.2	0.062727605
AC005736.3	0
AC005740.1	0
AC005740.2	0
AC005740.3	0.141137112
AC005740.4	0.076099007
AC005741.1	0
AC005746.1	0
AC005746.2	0.671452302
AC005746.3	0.061769932
AC005753.1	0
AC005757.1	0
AC005758.1	0
AC005759.1	0
AC005771.1	0
AC005772.1	0
AC005774.1	0
AC005775.1	0.057119019
AC005776.1	0.251126723
AC005776.2	0.343069294
AC005777.1	0
AC005779.1	0.35963827
AC005779.2	0.044137424
AC005785.1	0.1778431
AC005785.2	0.192358029
AC005786.1	0
AC005786.2	0
AC005786.3	0
AC005786.4	0
AC005789.1	0
AC005790.1	0.107891481
AC005796.1	0.056063703
AC005798.1	0.188182816
AC005808.1	0
AC005821.1	0
AC005822.1	0.093909413
AC005823.1	0
AC005823.2	0
AC005828.1	0.046327449
AC005828.2	0
AC005828.3	0
AC005828.4	0.087955012
AC005828.5	0
AC005828.6	0
AC005828.7	0
AC005829.1	0.2521203
AC005829.2	0.482753075
AC005831.1	1.687989876
AC005832.1	0.127319492
AC005832.2	0
AC005832.3	0.038471606
AC005832.4	0
AC005833.1	0
AC005833.2	0
AC005833.3	0
AC005837.1	0.056553484
AC005837.2	0
AC005837.3	0.084879662
AC005838.1	0
AC005838.2	0.076579127
AC005839.1	0.203996498
AC005840.1	1.094654946
AC005840.2	0.296207893
AC005840.3	0.428278132
AC005840.4	0.202634251
AC005841.1	0.169167827
AC005842.1	0.099592136
AC005845.1	0
AC005856.1	0.169759323
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0.016194518
AC005865.1	0.024243259
AC005865.2	0.010540852
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	0
AC005884.2	0.098281713
AC005899.1	0.043118265
AC005899.2	0
AC005899.3	0.089577798
AC005899.4	0
AC005899.5	0.087955012
AC005899.6	0.408679852
AC005899.7	0.041285005
AC005899.8	0.021115323
AC005901.1	0
AC005906.1	0
AC005906.2	0.100450689
AC005908.1	0
AC005908.2	0
AC005909.1	0
AC005911.1	0.692067065
AC005912.1	34.08101487
AC005912.2	0
AC005915.1	0
AC005920.1	0
AC005920.2	0
AC005920.3	0
AC005920.4	0
AC005921.1	0.084879662
AC005921.2	0
AC005921.3	0.02257144
AC005943.1	0.024227129
AC005943.2	0
AC005944.1	0
AC005951.1	0
AC005954.1	0.288137486
AC005954.2	0.043661121
AC005962.1	0
AC005972.1	0
AC005972.2	0
AC005972.3	0
AC005993.1	4.647214923
AC005996.1	0.043041814
AC005999.1	0
AC006001.1	0.051214311
AC006001.2	0.491722901
AC006001.3	0.284288025
AC006001.4	12.29143454
AC006003.1	0
AC006004.1	0
AC006006.1	0
AC006007.1	0
AC006011.1	0
AC006011.2	0
AC006012.1	0.10539327
AC006013.1	0
AC006015.1	0
AC006017.1	0.072141406
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	0
AC006022.1	0
AC006023.1	0.187456241
AC006023.2	0.145362774
AC006026.1	0
AC006026.2	0
AC006026.3	0.169759323
AC006027.1	0
AC006028.1	0
AC006030.1	0.009596989
AC006033.1	0.227939749
AC006033.2	0.209697619
AC006037.1	0
AC006037.2	0
AC006041.1	0
AC006042.1	0.046327449
AC006042.2	0.085477406
AC006042.3	0
AC006042.4	0
AC006055.1	0
AC006058.1	0.033536428
AC006058.2	0
AC006058.3	0.068126052
AC006058.4	0.029072555
AC006059.1	0.092772929
AC006063.1	0
AC006064.1	0.043349256
AC006064.2	0.276361375
AC006064.3	0.050892208
AC006064.4	0
AC006064.5	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	0
AC006065.5	0
AC006065.6	0
AC006070.1	0.125780224
AC006076.1	0
AC006077.1	0.070774295
AC006077.2	0.318716629
AC006111.1	0
AC006111.2	0.272759362
AC006111.3	0.190148171
AC006115.1	0
AC006115.2	0
AC006116.1	0.022363504
AC006116.10	0
AC006116.2	0.049140857
AC006116.3	0
AC006116.4	0
AC006116.5	0
AC006116.6	0.022008688
AC006116.7	0
AC006116.8	0.028705853
AC006116.9	0
AC006122.1	0.2758589
AC006128.1	0.54075652
AC006130.1	0
AC006130.2	0
AC006133.1	0
AC006141.1	0
AC006144.1	0.01517224
AC006145.1	0.009157142
AC006146.1	0
AC006148.1	0
AC006148.2	0
AC006150.1	0
AC006153.1	0
AC006157.1	0
AC006158.1	0
AC006159.1	0
AC006159.2	0
AC006160.1	0
AC006195.1	0.05260148
AC006197.1	0
AC006199.1	0
AC006205.1	0
AC006205.2	0
AC006206.1	0
AC006206.2	1.604246771
AC006210.1	0
AC006210.2	0.015753136
AC006213.1	0.016689985
AC006213.2	0
AC006213.3	0
AC006213.4	0.076579127
AC006213.5	0.08429022
AC006213.6	0.011617891
AC006236.1	0
AC006237.1	0.050574132
AC006238.1	0
AC006249.1	0
AC006252.1	0.242535346
AC006254.1	0.026908802
