	62ff3cee-843e-4192-a4a6-8489cc2d0508
	tumor
AC005479.1	0.055782606
AC005479.2	0.457391484
AC005480.1	0.024934952
AC005480.2	0.481994449
AC005481.1	0
AC005482.1	0
AC005486.1	0
AC005487.1	0
AC005495.1	0
AC005498.1	0
AC005498.2	0.029733896
AC005498.3	0.128531853
AC005514.1	0
AC005515.1	0.051137673
AC005515.2	0
AC005518.1	0
AC005518.2	0
AC005519.1	0.216315724
AC005520.1	0.008892004
AC005520.2	2.674321913
AC005520.3	0
AC005520.4	0
AC005520.5	0
AC005521.1	0.037678847
AC005522.1	0
AC005523.1	0.393013815
AC005523.2	0
AC005529.1	0.227376851
AC005531.1	0
AC005532.1	0.15936599
AC005532.2	0
AC005534.1	0.177121051
AC005534.2	0.151759607
AC005537.1	0.879551006
AC005538.1	0
AC005538.2	0
AC005539.1	0
AC005540.1	0.143007421
AC005544.1	0.142851978
AC005544.2	0
AC005546.1	0.084030575
AC005549.1	0
AC005550.1	0
AC005550.2	0
AC005552.1	0
AC005559.1	0
AC005562.1	0.234063297
AC005562.2	0
AC005578.1	0.032211721
AC005580.1	0
AC005586.1	0.740255484
AC005586.2	0.117763279
AC005587.1	0
AC005588.1	0
AC005592.1	0
AC005593.1	0.063797971
AC005597.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0.021573181
AC005614.1	0
AC005614.2	0
AC005616.1	0
AC005618.1	0.020874177
AC005618.2	0
AC005618.3	0
AC005625.1	0
AC005632.1	0
AC005632.2	0.55553547
AC005632.3	0
AC005632.4	0
AC005670.1	0
AC005670.2	0
AC005674.1	0.071581601
AC005674.2	0.252738115
AC005682.1	0.671900919
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005695.1	0.028963289
AC005695.2	0
AC005695.3	0.283240991
AC005696.1	0.741669411
AC005696.2	0
AC005696.3	0.542177474
AC005696.4	0.114844456
AC005697.1	0
AC005697.2	0
AC005699.1	0.016297597
AC005702.1	0
AC005702.2	0
AC005702.3	0
AC005702.4	0
AC005703.1	0
AC005703.2	0
AC005703.3	0
AC005703.4	0
AC005703.5	0
AC005703.6	0.074166941
AC005722.1	0
AC005722.2	0
AC005722.3	0
AC005725.1	0.214250569
AC005726.1	0.602393207
AC005726.2	0.086748396
AC005726.3	0.789116821
AC005726.4	0
AC005726.5	0
AC005730.1	0
AC005730.2	0
AC005730.3	0.359081475
AC005736.1	0.259265068
AC005736.2	0.382045988
AC005736.3	0
AC005740.1	0.125884885
AC005740.2	0
AC005740.3	0.095511497
AC005740.4	0
AC005741.1	0
AC005746.1	0
AC005746.2	0
AC005746.3	0.083602939
AC005753.1	0
AC005757.1	0
AC005758.1	0
AC005759.1	0.081326621
AC005771.1	0
AC005772.1	0
AC005774.1	0
AC005775.1	0.154616258
AC005776.1	0.226592793
AC005776.2	0.167158617
AC005777.1	0
AC005779.1	0
AC005779.2	0
AC005785.1	0.326668312
AC005785.2	0.260348296
AC005786.1	0
AC005786.2	0.089040528
AC005786.3	0
AC005786.4	0
AC005789.1	0
AC005790.1	0.584105865
AC005796.1	0.151759607
AC005798.1	0
AC005808.1	0.258708307
AC005821.1	0
AC005822.1	0.095326755
AC005823.1	0
AC005823.2	0
AC005828.1	0.062702204
AC005828.2	0
AC005828.3	0
AC005828.4	0.178564972
AC005828.5	0
AC005828.6	0.141620495
AC005828.7	0
AC005829.1	0.389981661
AC005829.2	1.026748591
AC005831.1	0.735725567
AC005832.1	0.114880961
AC005832.2	0
AC005832.3	0
AC005832.4	0
AC005833.1	0
AC005833.2	0.13851583
AC005833.3	0
AC005837.1	0.51666324
AC005837.2	0
AC005837.3	0.229761923
AC005838.1	0
AC005838.2	0
AC005839.1	0.460167436
AC005840.1	1.220115037
AC005840.2	0.747140406
AC005840.3	0.026347999
AC005840.4	0.548513438
AC005841.1	0.457922717
AC005842.1	0
AC005845.1	0
AC005856.1	0.114880961
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0
AC005865.1	0.054687009
AC005865.2	0.028533178
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	0.076587308
AC005884.2	0.266040121
AC005899.1	0.175076136
AC005899.2	0
AC005899.3	0
AC005899.4	0
AC005899.5	0.059521657
AC005899.6	0.995634998
AC005899.7	0.279387372
AC005899.8	0
AC005901.1	0
AC005906.1	0
AC005906.2	0
AC005908.1	0
AC005908.2	0
AC005909.1	0
AC005911.1	4.683414628
AC005912.1	110.8083186
AC005912.2	0
AC005915.1	0
AC005920.1	0
AC005920.2	0
AC005920.3	0
AC005920.4	0
AC005921.1	0
AC005921.2	0
AC005921.3	0.076373675
AC005943.1	0
AC005943.2	0
AC005944.1	0
AC005951.1	0
AC005954.1	0.19499083
AC005954.2	0
AC005962.1	0.151177707
AC005972.1	0
AC005972.2	0
AC005972.3	0
AC005993.1	0.910366509
AC005996.1	0
AC005999.1	0
AC006001.1	0.138632721
AC006001.2	1.471162161
AC006001.3	0.583791365
AC006001.4	27.03338064
AC006003.1	0
AC006004.1	0
AC006006.1	0
AC006007.1	0
AC006011.1	0
AC006011.2	0.085119054
AC006012.1	0
AC006013.1	0
AC006015.1	0
AC006017.1	0.146460423
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	0
AC006022.1	0.084680296
AC006023.1	0
AC006023.2	0
AC006026.1	0.036445873
AC006026.2	0
AC006026.3	1.838095381
AC006027.1	0
AC006028.1	0
AC006030.1	0.019483666
AC006033.1	0.308506619
AC006033.2	0.250426486
AC006037.1	0
AC006037.2	0.02944082
AC006041.1	0
AC006042.1	0.501617632
AC006042.2	0.115689982
AC006042.3	0.201295844
AC006042.4	0.189918815
AC006055.1	0
AC006058.1	0.181560438
AC006058.2	0.119912244
AC006058.3	0.27661702
AC006058.4	0.157393796
AC006059.1	0.292983038
AC006063.1	0
AC006064.1	0.058671348
AC006064.2	0.403966659
AC006064.3	0.413282452
AC006064.4	0
AC006064.5	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	0
AC006065.5	0
AC006065.6	0
AC006070.1	0
AC006076.1	0
AC006077.1	0
AC006077.2	0.50326408
AC006111.1	0
AC006111.2	0.522988047
AC006111.3	0.257357349
AC006115.1	0
AC006115.2	0
AC006116.1	0.015134019
AC006116.10	0
AC006116.2	0
AC006116.3	0
AC006116.4	0.072690166
AC006116.5	0.058776306
AC006116.6	0
AC006116.7	0
AC006116.8	0.077704269
AC006116.9	0
AC006122.1	0.597380999
AC006128.1	2.531945955
AC006130.1	0
AC006130.2	0
AC006133.1	0
AC006141.1	0.045422979
AC006144.1	0
AC006145.1	0.024787593
AC006146.1	0
AC006148.1	0
AC006148.2	0.101095246
AC006150.1	0
AC006153.1	0
AC006157.1	1.256785161
AC006158.1	0
AC006159.1	0
AC006159.2	0
AC006160.1	0.306655579
AC006195.1	0.071193835
AC006197.1	0
AC006199.1	0
AC006205.1	0
AC006205.2	0
AC006206.1	0.019401213
AC006206.2	1.802571093
AC006210.1	0
AC006210.2	0.021321191
AC006213.1	0.101651287
AC006213.2	0.194768543
AC006213.3	0.06355117
AC006213.4	0.570056
AC006213.5	0.114083177
AC006213.6	0.007862157
AC006236.1	0
AC006237.1	0.068449906
AC006238.1	0
AC006249.1	0
AC006252.1	0.537154576
AC006254.1	0.202910886
AC006254.2	0.117763279
AC006254.3	0
AC006262.1	0.044467542
AC006262.2	0
AC006262.3	0
AC006262.4	0
AC006270.1	0.068736307
AC006270.2	0
AC006270.3	0
AC006272.1	0.178564972
AC006272.2	0.233020957
AC006273.1	0.076320453
AC006277.1	0.591815337
AC006288.1	0
AC006296.1	0
AC006296.2	0
AC006299.1	0.027142466
AC006305.1	3.37180009
AC006305.2	0
AC006305.3	0
AC006326.1	0
AC006328.1	0.173382348
AC006329.1	7.969316727
AC006329.2	0.083390749
AC006330.1	0.049606374
AC006333.1	0
AC006333.2	1.800111871
AC006335.1	0
AC006335.2	0
AC006335.3	0
AC006338.1	0
AC006338.2	0
AC006349.1	0
AC006355.1	0
AC006355.2	0
AC006357.1	0.061875621
AC006362.1	0
AC006363.1	0
AC006366.1	0
AC006369.1	0.479648977
AC006369.2	0.085562383
AC006372.1	0
AC006372.2	0.112520394
AC006372.3	0.008114585
AC006372.4	0
AC006378.1	0.309961839
AC006378.2	0.079618631
AC006380.1	0
AC006386.1	0
AC006386.2	0
AC006387.1	0.015002719
AC006390.1	0
AC006427.1	0
AC006435.1	0
AC006435.2	1.06502285
AC006435.3	0
AC006435.4	0
AC006435.5	0
AC006441.1	0.075185252
AC006441.2	0
AC006441.3	0
